id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"kyd",,,"",,"","2023-10-03 01:23:44.195123+00","f","f","f","228.5","D. Ky.","D. Kentucky","District Court, D. Kentucky","","1789-09-24","1901-02-12","FD","The United States District Court for the District of Kentucky was part of one of the original 13 courts established by the Judiciary Act of 1789, 1 Stat. 73, on September 24, 1789. At the time, Kentucky was not yet a state, but was within the territory of the state of Virginia. The District was unchanged when Kentucky became a state on June 1, 1792. On February 13, 1801, the Judiciary Act of 1801, 2 Stat. 89, abolished the U.S. district court in Kentucky, but the repeal of this Act restored the District on March 8, 1802, 2 Stat. 132. The District was subdivided into Eastern and Western Districts on February 12, 1901, by 31 Stat. 781.","usdistct"
"kyed","81","f","",,"43","2023-10-03 01:23:44.211133+00","t","f","f","229","E.D. Ky.","E.D. Kentucky","District Court, E.D. Kentucky","http://www.kyed.uscourts.gov/",,,"FD","Lawbox","usdistct"
"kywd","83","t","all",,"44","2023-10-03 01:23:44.222476+00","t","f","f","230","W.D. Ky.","W.D. Kentucky","District Court, W.D. Kentucky","http://www.kywd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"lad",,,"",,"","2023-10-03 01:23:44.234206+00","f","f","f","230.5","D. La.","D. Louisiana","District Court, D. Louisiana","","1812-04-08","1881-03-03","FD","This court was divided and reunified multiple times.","usdistct"
"laed","85","t","all",,"3L","2023-10-03 01:23:44.244374+00","t","f","f","231","E.D. La.","E.D. Louisiana","District Court, E.D. Louisiana","http://www.laed.uscourts.gov/",,,"FD","Lawbox","usdistct"
"mod",,,"",,"","2023-10-03 01:23:44.407165+00","f","f","f","241.4","D. Mo.","D. Missouri","District Court, D. Missouri","","1822-03-16","1857-03-03","FD","https://en.wikipedia.org/wiki/List_of_former_United_States_district_courts#Mississippi","usdistct"
"moed","107","t","all",,"65","2023-10-03 01:23:44.413576+00","t","f","f","242","E.D. Mo.","E.D. Missouri","District Court, E.D. Missouri","http://www.moed.uscourts.gov/",,,"FD","Lawbox","usdistct"
"mowd","109","t","order,order-cr,motion",,"66","2023-10-03 01:23:44.427121+00","t","f","f","242.1","W.D. Mo.","W.D. Missouri","District Court, W.D. Missouri","http://www.mow.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ned","113","t","all",,"67","2023-10-03 01:23:44.44553+00","t","f","f","242.2","D. Neb.","D. Nebraska","District Court, D. Nebraska","http://www.ned.uscourts.gov/",,,"FD","Lawbox","usdistct"
"nvd","115","t","all",,"78","2023-10-03 01:23:44.457242+00","t","f","f","242.5","D. Nev.","D. Nevada","District Court, D. Nevada","http://www.nvd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"nhd","117","t","all",,"02","2023-10-03 01:23:44.479561+00","t","f","f","243","D.N.H.","D. New Hampshire","District Court, D. New Hampshire","http://www.nhd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"njd","119","t","all",,"12","2023-10-03 01:23:44.491148+00","t","f","f","243.5","D.N.J.","D. New Jersey","District Court, D. New Jersey","http://www.njd.uscourts.gov/","1789-09-24",,"FD","Lawbox","usdistct"
"nmd","121","t","motion,order,order-cr,answer,appeal,appeal-cr,bankruptcy,cmp,inmate,minutes,misc,misccs,mot2255,notice-cr,reporter,reporter-cr,respm,respm-cr,respoth,service,transfer,transfer-cr,trial,trial-cr",,"84","2023-10-03 01:23:44.503309+00","t","f","f","243.7","D.N.M.","D. New Mexico","District Court, D. New Mexico","http://www.nmcourt.fed.us/web/DCDOCS/dcindex.html",,,"FD","Lawbox","usdistct"
"nyd",,,"",,"","2023-10-03 01:23:44.516877+00","f","f","f","244.7","D. N.Y.","D. New York","District Court, D. New York","","1789-09-24","1814-04-09","FD","","usdistct"
"nyed","123","t","all",,"07","2023-10-03 01:23:44.528953+00","t","f","f","244.8","E.D.N.Y","E.D. New York","District Court, E.D. New York","http://www.nyed.uscourts.gov/",,,"FD","Lawbox","usdistct"
"nynd","125","t","cmp,order,order-cr,motion",,"06","2023-10-03 01:23:44.536524+00","t","f","f","244.9","N.D.N.Y.","N.D. New York","District Court, N.D. New York","http://www.nynd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"nysd","127","t","adr,answer,appeal,appeal-cr,charge-cr,cmp,discov,discovery-cr,misc,misc-cr,misccs,mot2255,motion,notice,notice-cr,order,order-cr,respm,respm-cr,respoth,service,service-cr,transfer,transfer-cr,trial,trial-cr,waiver-cr,detention-cr,minutes,minutes-cr,plea",,"08","2023-10-03 01:23:44.555933+00","t","f","f","245","S.D.N.Y.","S.D. New York","District Court, S.D. New York","http://www.nysd.uscourts.gov/",,,"FD","","usdistct"
"nywd","129","f","",,"09","2023-10-03 01:23:44.56372+00","t","f","f","245.05","W.D.N.Y.","W.D. New York","District Court, W.D. New York","http://www.nywd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"nced","131","t","all",,"17","2023-10-03 01:23:44.583339+00","t","f","f","245.1","E.D.N.C.","E.D. North Carolina","District Court, E.D. North Carolina","http://www.nced.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ncmd","133","t","all",,"18","2023-10-03 01:23:44.59545+00","t","f","f","245.15","M.D.N.C.","M.D. North Carolina","District Court, M.D. North Carolina","http://www.ncmd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ncwd","135","t","all",,"19","2023-10-03 01:23:44.61534+00","t","f","f","245.2","W.D.N.C.","W.D. North Carolina","District Court, W.D. North Carolina","http://www.ncwd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"circtnc",,,"",,"","2023-10-03 01:23:44.631191+00","f","f","f","300.29","Cir. Ct. N.C.","Circuit Court of North Carolina","U.S. Circuit Court for the District of North Carolina","http://www.fjc.gov/history/home.nsf/page/courts_circuit_nc.html","1790-06-04","1912-01-01","F","","uscirct"
